('O', 'NNP')
('verdade', 'VBD')
('paciência', 'JJ')
('alienista', 'NN')
('ainda', 'NN')
('extraordinária', 'NN')
('todas', 'NN')
('manias', 'NN')
('hospedadas', 'VBP')
('Casa', 'NNP')
('Verde', 'NNP')
('nada', 'MD')
('menos', 'VB')
('assombrosa', 'JJ')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('começou', 'NN')
('organizar', 'NN')
('pessoal', 'NN')
('administração', 'NN')
('aceitando', 'NN')
('idéia', 'NN')
('boticário', 'NN')
('Crispim', 'NNP')
('Soares', 'NNP')
('aceitou', 'VBZ')
('dois', 'JJ')
('sobrinhos', 'NN')
('incumbiu', 'NN')
('execução', 'NN')
('regimento', 'NN')
('deu', 'NN')
('aprovado', 'NN')
('Câmara', 'NNP')
('distribuição', 'NN')
('comida', 'NN')
('roupa', 'NN')
('assim', 'NN')
('escrita', 'JJ')
('etc', 'NN')
('Era', 'NNP')
('melhor', 'NN')
('podia', 'NN')
('fazer', 'NN')
('somente', 'NN')
('cuidar', 'NN')
('ofício', 'IN')
('A', 'NNP')
('Casa', 'NNP')
('Verde', 'NNP')
('disse', 'NN')
('vigário', 'NN')
('agora', 'IN')
('espécie', 'FW')
('mundo', 'FW')
('governo', 'FW')
('temporal', 'JJ')
('governo', 'NN')
('espiritual', 'JJ')
('E', 'NNP')
('Padre', 'NNP')
('Lopes', 'NNP')
('ria', 'NN')
('deste', 'NN')
('pio', 'NN')
('trocado', 'NN')
('acrescentava', 'NN')
('único', 'NNP')
('fim', 'NN')
('dizer', 'NN')
('chalaça', 'NN')
('Deixe', 'NNP')
('estar', 'NN')
('deixe', 'NN')
('estar', 'NN')
('mandá', 'NN')
('lo', 'NN')
('denunciar', 'NN')
('papa', 'NN')
('Uma', 'NNP')
('vez', 'NN')
('desonerado', 'NN')
('administração', 'NN')
('alienista', 'NN')
('procedeu', 'NN')
('vasta', 'NN')
('classificação', 'NN')
('enfermos', 'NN')
('Dividiu', 'NNP')
('primeiramente', 'NN')
('duas', 'NN')
('classes', 'VBZ')
('principais', 'JJ')
('furiosos', 'NN')
('mansos', 'NN')
('daí', 'NN')
('passou', 'NN')
('subclasses', 'VBZ')
('monomanias', 'JJ')
('delírios', 'NNS')
('alucinações', 'VBP')
('diversas', 'JJ')
('Isto', 'NNP')
('feito', 'NN')
('começou', 'NN')
('estudo', 'NN')
('aturado', 'NN')
('contínuo', 'NN')
('analisava', 'NN')
('hábitos', 'NN')
('cada', 'NN')
('louco', 'NN')
('horas', 'NNS')
('acesso', 'VBP')
('aversões', 'JJ')
('simpatias', 'NN')
('palavras', 'NNS')
('gestos', 'VBP')
('tendências', 'JJ')
('inquiria', 'NNS')
('vida', 'VBP')
('enfermos', 'JJ')
('profissão', 'NN')
('costumes', 'NNS')
('circunstâncias', 'VBP')
('revelação', 'JJ')
('mórbida', 'NN')
('acidentes', 'VBZ')
('infância', 'JJ')
('mocidade', 'NN')
('doenças', 'NN')
('outra', 'JJ')
('espécie', 'NN')
('antecedentes', 'VBZ')
('família', 'JJ')
('devassa', 'NN')
('enfim', 'NN')
('faria', 'NN')
('atilado', 'NN')
('corregedor', 'NN')
('E', 'NNP')
('cada', 'VBZ')
('dia', 'JJ')
('notava', 'JJ')
('observação', 'NN')
('nova', 'JJ')
('descoberta', 'NN')
('interessante', 'NN')
('fenômeno', 'NN')
('extraordinário', 'NN')
('Ao', 'NNP')
('tempo', 'NN')
('estudava', 'NN')
('melhor', 'NN')
('regímen', 'NNS')
('substâncias', 'VBP')
('medicamentosas', 'JJ')
('meios', 'NNS')
('curativos', 'VBP')
('meios', 'NNS')
('paliativos', 'VBP')
('vinham', 'JJ')
('amados', 'NN')
('árabes', 'NNS')
('descobria', 'VBP')
('força', 'JJ')
('sagacidade', 'NN')
('paciência', 'NN')
('Ora', 'NNP')
('todo', 'NN')
('trabalho', 'NN')
('levava', 'NN')
('melhor', 'NN')
('tempo', 'NN')
('Mal', 'NNP')
('dormia', 'NN')
('mal', 'NN')
('comia', 'NN')
('ainda', 'NN')
('comendo', 'NN')
('trabalhasse', 'NN')
('porque', 'NN')
('ora', 'IN')
('interrogava', 'JJ')
('texto', 'NN')
('antigo', 'NN')
('ora', 'IN')
('ruminava', 'NN')
('questão', 'NN')
('ia', 'NN')
('muitas', 'NNS')
('vezes', 'VBZ')
('cabo', 'JJ')
('outro', 'JJ')
('jantar', 'NN')
('dizer', 'NN')
('palavra', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('CAPÍTULO', 'NNP')
('III', 'NNP')
('DEUS', 'NNP')
('SABE', 'NNP')
('O', 'NNP')
('QUE', 'NNP')
('FAZ', 'NNP')
('A', 'NNP')
('ilustre', 'JJ')
('dama', 'NN')
('fim', 'NN')
('dois', 'NN')
('meses', 'VBZ')
('achou', 'IN')
('desgraçada', 'NN')
('mulheres', 'NNS')
('caiu', 'VBP')
('profunda', 'NN')
('melancolia', 'NN')
('ficou', 'NN')
('amarela', 'NN')
('magra', 'NN')
('comia', 'NN')
('pouco', 'NN')
('suspirava', 'NN')
('cada', 'NN')
('canto', 'NN')
('Não', 'NNP')
('ousava', 'VBZ')
('fazer', 'NN')
('nenhuma', 'JJ')
('queixa', 'NN')
('reproche', 'NN')
('porque', 'NN')
('respeitava', 'NN')
('nele', 'JJ')
('marido', 'NN')
('senhor', 'NN')
('padecia', 'NN')
('calada', 'NN')
('definhava', 'NN')
('olhos', 'NN')
('vistos', 'NN')
('Um', 'NNP')
('dia', 'NN')
('jantar', 'NN')
('perguntasse', 'NN')
('marido', 'NN')
('respondeu', 'NN')
('tristemente', 'NN')
('nada', 'FW')
('atreveu', 'NN')
('pouco', 'NN')
('ponto', 'IN')
('dizer', 'NN')
('considerava', 'NN')
('tão', 'NN')
('viúva', 'NN')
('dantes', 'VBZ')
('E', 'NNP')
('acrescentou', 'NN')
('Quem', 'NNP')
('diria', 'NN')
('nunca', 'NN')
('meia', 'NN')
('dúzia', 'NN')
('lunáticos', 'NN')
('Não', 'NNP')
('acabou', 'NN')
('frase', 'NN')
('antes', 'VBZ')
('acabou', 'JJ')
('levantando', 'NN')
('olhos', 'NN')
('teto', 'NN')
('olhos', 'NN')
('feição', 'NN')
('insinuante', 'NN')
('negros', 'NNS')
('grandes', 'NNS')
('lavados', 'VBP')
('luz', 'JJ')
('úmida', 'NNP')
('aurora', 'NN')
('Quanto', 'NNP')
('gesto', 'NN')
('empregara', 'NN')
('dia', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('pediu', 'NN')
('casamento', 'NN')
('Não', 'NNP')
('dizem', 'NN')
('crônicas', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('brandiu', 'NN')
('arma', 'NN')
('perverso', 'NN')
('intuito', 'NN')
('degolar', 'JJ')
('vez', 'NN')
('ciência', 'NN')
('menos', 'NNS')
('decepar', 'VBP')
('mãos', 'JJ')
('conjetura', 'NN')
('verossímil', 'NN')
('Em', 'NNP')
('todo', 'NN')
('caso', 'NN')
('alienista', 'NN')
('atribuiu', 'NN')
('outra', 'JJ')
('intenção', 'NN')
('E', 'NNP')
('irritou', 'NN')
('grande', 'NN')
('homem', 'NN')
('ficou', 'NN')
('sequer', 'NN')
('consternado', 'NN')
('O', 'NNP')
('metal', 'NN')
('olhos', 'NN')
('deixou', 'NN')
('ser', 'NN')
('metal', 'NN')
('duro', 'NN')
('liso', 'NN')
('eterno', 'VBP')
('menor', 'JJ')
('prega', 'JJ')
('veio', 'NN')
('quebrar', 'NN')
('superfície', 'NN')
('fronte', 'NN')
('quieta', 'NN')
('água', 'NNP')
('Botafogo', 'NNP')
('Talvez', 'NNP')
('sorriso', 'VBD')
('descerrou', 'JJ')
('lábios', 'NNS')
('quais', 'VBP')
('filtrou', 'JJ')
('palavra', 'NN')
('macia', 'NN')
('óleo', 'NNP')
('Cântico', 'NNP')
('Consinto', 'NNP')
('vás', 'NN')
('dar', 'NN')
('passeio', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('D', 'NNP')
('Evarista', 'NNP')
('sentiu', 'NN')
('faltar', 'NN')
('chão', 'NN')
('debaixo', 'NN')
('pés', 'NN')
('Nunca', 'NNP')
('nuncas', 'CC')
('vira', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('posto', 'NN')
('sequer', 'NN')
('pálida', 'NN')
('sombra', 'NN')
('hoje', 'NN')
('todavia', 'NN')
('alguma', 'NN')
('coisa', 'NN')
('Itaguaí', 'NNP')
('Ver', 'NNP')
('Rio', 'NNP')
('Janeiro', 'NNP')
('equivalia', 'VBZ')
('sonho', 'JJ')
('hebreu', 'NN')
('cativo', 'NN')
('Agora', 'NNP')
('principalmente', 'NN')
('marido', 'NN')
('assentara', 'NN')
('vez', 'NN')
('naquela', 'JJ')
('povoação', 'NN')
('interior', 'JJ')
('agora', 'NNS')
('perdera', 'NN')
('últimas', 'VBP')
('esperanças', 'NN')
('respirar', 'NN')
('ares', 'VBZ')
('boa', 'JJ')
('cidade', 'NN')
('justamente', 'NN')
('agora', 'IN')
('convidava', 'NN')
('realizar', 'NN')
('desejos', 'NN')
('menina', 'NN')
('moça', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('pôde', 'NN')
('dissimular', 'NN')
('gosto', 'NN')
('semelhante', 'NN')
('proposta', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('pegou', 'NN')
('mão', 'NN')
('sorriu', 'NN')
('sorriso', 'NN')
('tanto', 'IN')
('quanto', 'NN')
('filosófico', 'NN')
('além', 'JJ')
('conjugal', 'JJ')
('parecia', 'NN')
('traduzir', 'NN')
('pensamento', 'IN')
('Não', 'NNP')
('remédio', 'NN')
('certo', 'NN')
('dores', 'VBZ')
('alma', 'JJ')
('senhora', 'NNS')
('definha', 'VBP')
('porque', 'JJ')
('parece', 'NN')
('amo', 'NN')
('dou', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('consola', 'NN')
('E', 'NNP')
('porque', 'NN')
('homem', 'NN')
('estudioso', 'NN')
('tomou', 'NN')
('nota', 'JJ')
('observação', 'NN')
('Mas', 'NNP')
('dardo', 'NN')
('atravessou', 'NN')
('coração', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('Conteve', 'NNP')
('entretanto', 'NN')
('limitou', 'NN')
('dizer', 'NN')
('marido', 'NN')
('ia', 'NN')
('iria', 'NN')
('porque', 'NN')
('havia', 'NN')
('meter', 'NN')
('sozinha', 'NN')
('estradas', 'VBP')
('Irá', 'NNP')
('tia', 'NN')
('redargüiu', 'NN')
('alienista', 'JJ')
('Note', 'NNP')
('D', 'NNP')
('Evarista', 'NNP')
('pensado', 'NN')
('nisso', 'NN')
('quisera', 'NN')
('pedi', 'NN')
('lo', 'NN')
('insinuá', 'NN')
('lo', 'NN')
('primeiro', 'NN')
('lugar', 'NN')
('porque', 'NN')
('impor', 'NN')
('grandes', 'NNS')
('despesas', 'VBP')
('marido', 'JJ')
('segundo', 'NN')
('lugar', 'NN')
('porque', 'NN')
('melhor', 'NN')
('metódico', 'VBD')
('racional', 'JJ')
('proposta', 'NN')
('viesse', 'NN')
('Oh', 'NNP')
('dinheiro', 'NN')
('preciso', 'NN')
('gastar', 'NN')
('suspirou', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('convicção', 'NN')
('Que', 'NNP')
('importa', 'NN')
('Temos', 'NNP')
('ganho', 'NN')
('disse', 'NN')
('marido', 'NN')
('Ainda', 'NNP')
('ontem', 'NN')
('escriturário', 'NN')
('prestou', 'NN')
('contas', 'NN')
('Queres', 'VBZ')
('ver', 'RB')
('E', 'NNP')
('levou', 'VBD')
('livros', 'JJ')
('D', 'NNP')
('Evarista', 'NNP')
('ficou', 'VBD')
('deslumbrada', 'JJ')
('Era', 'NNP')
('via', 'IN')
('láctea', 'NN')
('algarismos', 'NNS')
('E', 'NNP')
('levou', 'VBP')
('arcas', 'JJ')
('onde', 'NN')
('dinheiro', 'NN')
('Deus', 'NNP')
('montes', 'VBZ')
('ouro', 'JJ')
('mil', 'NN')
('cruzados', 'NN')
('sobre', 'NN')
('mil', 'NN')
('cruzados', 'NN')
('dobrões', 'NN')
('sobre', 'NN')
('dobrões', 'NN')
('opulência', 'NN')
('Enquanto', 'NNP')
('comia', 'NN')
('ouro', 'NN')
('olhos', 'NN')
('negros', 'JJ')
('alienista', 'NN')
('fitava', 'NN')
('dizia', 'NN')
('ouvido', 'NN')
('pérfida', 'NN')
('alusões', 'NN')
('Quem', 'NNP')
('diria', 'NN')
('meia', 'NN')
('dúzia', 'NN')
('lunáticos', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('compreendeu', 'NN')
('sorriu', 'NN')
('respondeu', 'NN')
('muita', 'NN')
('resignação', 'NN')
('Deus', 'NNP')
('sabe', 'NN')
('faz', 'NN')
('Três', 'NNP')
('meses', 'VBZ')
('efetuava', 'FW')
('jornada', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('tia', 'NN')
('mulher', 'NN')
('boticário', 'NN')
('sobrinho', 'NN')
('deste', 'NN')
('padre', 'NN')
('alienista', 'NN')
('conhecera', 'NN')
('Lisboa', 'NNP')
('aventura', 'NN')
('achava', 'NN')
('Itaguaí', 'NNP')
('cinco', 'NN')
('seis', 'NN')
('pajens', 'VBZ')
('quatro', 'JJ')
('mucamas', 'NNS')
('tal', 'JJ')
('comitiva', 'NN')
('população', 'NN')
('viu', 'NN')
('dali', 'NN')
('sair', 'NN')
('certa', 'NN')
('manhã', 'NN')
('mês', 'NN')
('maio', 'NN')
('As', 'IN')
('despedidas', 'JJ')
('tristes', 'NNS')
('todos', 'VBP')
('menos', 'NNS')
('alienista', 'VBP')
('Conquanto', 'NNP')
('lágrimas', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('abundantes', 'VBZ')
('sinceras', 'JJ')
('chegaram', 'NN')
('abalá', 'NN')
('lo', 'NN')
('Homem', 'NNP')
('ciência', 'NN')
('ciência', 'NN')
('nada', 'JJ')
('consternava', 'NN')
('ciência', 'NN')
('alguma', 'NN')
('coisa', 'NN')
('preocupava', 'NN')
('naquela', 'JJ')
('ocasião', 'NN')
('deixava', 'NN')
('correr', 'NN')
('multidão', 'NN')
('olhar', 'JJ')
('inquieto', 'NN')
('policial', 'JJ')
('outra', 'JJ')
('coisa', 'NN')
('idéia', 'NN')
('algum', 'NN')
('demente', 'NN')
('podia', 'NN')
('achar', 'NN')
('ali', 'NN')
('misturado', 'NN')
('gente', 'NN')
('juízo', 'NN')
('Adeus', 'NNP')
('soluçaram', 'NN')
('enfim', 'NN')
('damas', 'NN')
('boticário', 'NN')
('E', 'NNP')
('partiu', 'NN')
('comitiva', 'NN')
('Crispim', 'NNP')
('Soares', 'NNP')
('tornar', 'VBZ')
('casa', 'JJ')
('trazia', 'NN')
('olhos', 'NN')
('duas', 'NN')
('orelhas', 'IN')
('besta', 'NN')
('ruana', 'NN')
('vinha', 'NN')
('montado', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('alongava', 'VBZ')
('horizonte', 'JJ')
('adiante', 'NNS')
('deixando', 'VBP')
('cavalo', 'NN')
('responsabilidade', 'NN')
('regresso', 'NN')
('Imagem', 'NNP')
('vivaz', 'NN')
('gênio', 'NN')
('vulgo', 'NN')
('Um', 'NNP')
('fita', 'NN')
('presente', 'NN')
('todas', 'NN')
('lágrimas', 'NN')
('saudades', 'NNS')
('outro', 'VBP')
('devassa', 'JJ')
('futuro', 'NN')
('todas', 'NN')
('auroras', 'NNS')
('CAPÍTULO', 'NNP')
('IV', 'NNP')
('UMA', 'NNP')
('TEORIA', 'NNP')
('NOVA', 'NNP')
('Ao', 'NNP')
('passo', 'NN')
('D', 'NNP')
('Evarista', 'NNP')
('lágrimas', 'VBZ')
('vinha', 'FW')
('buscando', 'NN')
('Rio', 'NNP')
('Janeiro', 'NNP')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('estudava', 'VBZ')
('todos', 'JJ')
('lados', 'JJ')
('certa', 'NN')
('idéia', 'NN')
('arrojada', 'NN')
('nova', 'FW')
('própria', 'NN')
('alargar', 'NN')
('bases', 'NNS')
('psicologia', 'VBP')
('Todo', 'NNP')
('tempo', 'NN')
('sobrava', 'NN')
('cuidados', 'NN')
('Casa', 'NNP')
('Verde', 'NNP')
('pouco', 'NN')
('andar', 'NN')
('rua', 'NN')
('casa', 'NN')
('casa', 'NN')
('conversando', 'NN')
('gentes', 'VBZ')
('sobre', 'JJ')
('trinta', 'NN')
('mil', 'NN')
('assuntos', 'NN')
('virgulando', 'NN')
('falas', 'NNS')
('olhar', 'VBP')
('metia', 'JJ')
('medo', 'NN')
('heróicos', 'NN')
('Um', 'NNP')
('dia', 'NN')
('manhã', 'NN')
('passadas', 'NN')
('três', 'NN')
('semanas', 'NNS')
('estando', 'VBP')
('Crispim', 'NNP')
('Soares', 'NNP')
('ocupado', 'MD')
('temperar', 'VB')
('medicamento', 'JJ')
('vieram', 'NN')
('dizer', 'NN')
('alienista', 'JJ')
('mandava', 'NN')
('chamar', 'NN')
('Trata', 'NNP')
('negócio', 'NN')
('importante', 'NN')
('segundo', 'NN')
('disse', 'NN')
('acrescentou', 'NN')
('portador', 'NN')
('Crispim', 'NNP')
('empalideceu', 'NN')
('Que', 'NNP')
('negócio', 'RB')
('importante', 'VBZ')
('podia', 'FW')
('ser', 'NN')
('alguma', 'NN')
('triste', 'NN')
('notícia', 'JJ')
('comitiva', 'NN')
('especialmente', 'NN')
('mulher', 'NN')
('Porque', 'NNP')
('tópico', 'NN')
('deve', 'NN')
('ficar', 'NN')
('claramente', 'NN')
('definido', 'NN')
('visto', 'NN')
('insistirem', 'NN')
('nele', 'JJ')
('cronistas', 'NNS')
('Crispim', 'NNP')
('amava', 'VBP')
('mulher', 'PRP$')
('desde', 'JJ')
('trinta', 'JJ')
('anos', 'NNS')
('nunca', 'VBP')
('separados', 'JJ')
('dia', 'NN')
('Assim', 'NNP')
('explicam', 'VBZ')
('monólogos', 'FW')
('fazia', 'JJ')
('agora', 'NNS')
('fâmulos', 'VBP')
('ouviam', 'JJ')
('muita', 'NN')
('vez', 'NN')
('Anda', 'NNP')
('bem', 'NN')
('feito', 'NN')
('mandou', 'NN')
('consentir', 'NN')
('viagem', 'NN')
('Cesária', 'NNP')
('Bajulador', 'NNP')
('torpe', 'NN')
('bajulador', 'NN')
('Só', 'NNP')
('adular', 'JJ')
('Dr', 'NNP')
('Bacamarte', 'NNP')
('Pois', 'NNP')
('agora', 'VBZ')
('agüenta', 'JJ')
('anda', 'NN')
('agüenta', 'NN')
('alma', 'NN')
('lacaio', 'NN')
('fracalhão', 'VBP')
('vil', 'JJ')
('miserável', 'NN')
('Dizes', 'NNP')
('amém', 'NN')
('tudo', 'NN')
('aí', 'NN')
('tens', 'NNS')
('lucro', 'VBP')
('biltre', 'JJ')
('!\x94', 'NNP')
('E', 'NNP')
('muitos', 'NNS')
('outros', 'VBP')
('nomes', 'RB')
('feios', 'JJ')
('homem', 'NN')
('deve', 'VBP')
('dizer', 'NN')
('outros', 'NNS')
('quanto', 'VBP')
('si', 'JJ')
('Daqui', 'NNP')
('imaginar', 'NN')
('efeito', 'NN')
('recado', 'NN')
('nada', 'JJ')
('Tão', 'NNP')
('depressa', 'NN')
('recebeu', 'NN')
('abriu', 'NN')
('mão', 'NN')
('drogas', 'NN')
('voou', 'NN')
('Casa', 'NNP')
('Verde', 'NNP')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('recebeu', 'NN')
('alegria', 'NN')
('própria', 'NN')
('sábio', 'NN')
('alegria', 'IN')
('abotoada', 'JJ')
('circunspeção', 'NN')
('pescoço', 'NN')
('Estou', 'NNP')
('contente', 'NN')
('disse', 'NN')
('Notícias', 'NNP')
('povo', 'NN')
('perguntou', 'NN')
('boticário', 'NN')
('voz', 'NN')
('trêmula', 'NN')
('O', 'NNP')
('alienista', 'NN')
('fez', 'NN')
('gesto', 'NN')
('magnífico', 'NN')
('respondeu', 'NN')
('Trata', 'NNP')
('coisa', 'NN')
('alta', 'NN')
('trata', 'NN')
('experiência', 'NN')
('científica', 'NN')
('Digo', 'NNP')
('experiência', 'NN')
('porque', 'NN')
('atrevo', 'NN')
('assegurar', 'NN')
('desde', 'NN')
('idéia', 'NN')
('ciência', 'NN')
('outra', 'JJ')
('coisa', 'NN')
('Sr', 'NNP')
('Soares', 'NNP')
('senão', 'VBD')
('investigação', 'JJ')
('constante', 'NN')
('Trata', 'NNP')
('pois', 'NN')
('experiência', 'NN')
('experiência', 'NN')
('vai', 'NN')
('mudar', 'NN')
('face', 'NN')
('Terra', 'NNP')
('A', 'NNP')
('loucura', 'NN')
('objeto', 'NN')
('estudos', 'NN')
('agora', 'IN')
('ilha', 'JJ')
('perdida', 'NN')
('oceano', 'NN')
('razão', 'NN')
('começo', 'NN')
('suspeitar', 'NN')
('continente', 'NN')
('Disse', 'NNP')
('calou', 'NN')
('ruminar', 'NN')
('pasmo', 'NN')
('boticário', 'NN')
('Depois', 'NNP')
('explicou', 'VBZ')
('compridamente', 'JJ')
('idéia', 'NN')
('No', 'NNP')
('conceito', 'NN')
('insânia', 'NN')
('abrangia', 'NN')
('vasta', 'NN')
('superfície', 'NN')
('cérebros', 'NN')
('desenvolveu', 'NN')
('grande', 'NN')
('cópia', 'NN')
('raciocínios', 'NNS')
('textos', 'VBP')
('exemplos', 'JJ')
('Os', 'NNP')
('exemplos', 'NN')
('achou', 'NN')
('história', 'NN')
('Itaguaí', 'NNP')
('raro', 'NN')
('espírito', 'NN')
('reconheceu', 'NN')
('perigo', 'NN')
('citar', 'NN')
('todos', 'NN')
('casos', 'NN')
('Itaguaí', 'NNP')
('refugiou', 'NN')
('história', 'NN')
('Assim', 'NNP')
('apontou', 'NN')
('especialidade', 'NN')
('alguns', 'VBZ')
('personagens', 'NNS')
('célebres', 'NNS')
('Sócrates', 'NNP')
('demônio', 'VBP')
('familiar', 'JJ')
('Pascal', 'NNP')
('via', 'IN')
('abismo', 'NN')
('esquerda', 'NN')
('Maomé', 'NNP')
('Caracala', 'NNP')
('Domiciano', 'NNP')
('Calígula', 'NNP')
('etc', 'FW')
('.,', 'NNP')
('enfiada', 'FW')
('casos', 'NN')
('pessoas', 'NN')
('mistura', 'NN')
('vinham', 'NN')
('entidades', 'VBZ')
('odiosas', 'JJ')
('entidades', 'NNS')
('ridículas', 'VBP')
('E', 'NNP')
('porque', 'NN')
('boticário', 'NN')
('admirasse', 'IN')
('tal', 'JJ')
('promiscuidade', 'NN')
('alienista', 'NN')
('disse', 'NN')
('tudo', 'NN')
('mesma', 'NN')
('coisa', 'NN')
('acrescentou', 'NN')
('sentenciosamente', 'VBD')
('A', 'NNP')
('ferocidade', 'NN')
('Sr', 'NNP')
('Soares', 'NNP')
('grotesco', 'VBP')
('sério', 'NN')
('Gracioso', 'NNP')
('gracioso', 'NN')
('exclamou', 'NN')
('Crispim', 'NNP')
('Soares', 'NNP')
('levantando', 'VBZ')
('mãos', 'FW')
('céu', 'NN')
('Quanto', 'NNP')
('idéia', 'NN')
('ampliar', 'NN')
('território', 'NN')
('loucura', 'NN')
('achou', 'NN')
('boticário', 'NN')
('extravagante', 'VBZ')
('modéstia', 'NN')
('principal', 'JJ')
('adorno', 'NN')
('espírito', 'NN')
('sofreu', 'NN')
('confessar', 'NN')
('outra', 'JJ')
('coisa', 'NN')
('além', 'NN')
('nobre', 'JJ')
('entusiasmo', 'NN')
('declarou', 'NN')
('sublime', 'JJ')
('verdadeira', 'NN')
('acrescentou', 'NN')
('caso', 'NN')
('matraca', 'NN')
('Esta', 'NNP')
('expressão', 'VBZ')
('equivalente', 'JJ')
('estilo', 'FW')
('moderno', 'FW')
('Naquele', 'NNP')
('tempo', 'NN')
('Itaguaí', 'NNP')
('demais', 'NN')
('vilas', 'NNS')
('arraiais', 'VBP')
('povoações', 'JJ')
('colônia', 'NN')
('dispunha', 'NN')
('imprensa', 'NN')
('dois', 'NN')
('modos', 'NN')
('divulgar', 'NN')
('notícia', 'JJ')
('meio', 'NN')
('cartazes', 'VBZ')
('manuscritos', 'NNS')
('pregados', 'JJ')
('porta', 'NN')
('Câmara', 'NNP')
('matriz', 'NN')
('meio', 'NN')
('matraca', 'NN')
('Eis', 'NNP')
('consistia', 'NN')
('segundo', 'NN')
('uso', 'JJ')
('Contratava', 'NNP')
('homem', 'NN')
('dias', 'NN')
('andar', 'NN')
('ruas', 'NN')
('povoado', 'NN')
('matraca', 'NN')
('mão', 'NN')
('De', 'NNP')
('tocava', 'FW')
('matraca', 'NN')
('reunia', 'NN')
('gente', 'NN')
('anunciava', 'NN')
('incumbiam', 'NN')
('remédio', 'NN')
('sezões', 'NN')
('umas', 'JJ')
('terras', 'NNS')
('lavradias', 'VBP')
('soneto', 'JJ')
('donativo', 'NN')
('eclesiástico', 'NN')
('melhor', 'NN')
('tesoura', 'NN')
('vila', 'NN')
('belo', 'NN')
('discurso', 'NN')
('ano', 'NN')
('etc', 'FW')
('O', 'NNP')
('sistema', 'NN')
('inconvenientes', 'VBZ')
('paz', 'VBP')
('pública', 'JJ')
('conservado', 'NN')
('grande', 'NN')
('energia', 'NN')
('divulgação', 'NN')
('possuía', 'NN')
('Por', 'NNP')
('exemplo', 'NN')
('vereadores', 'NNS')
('justamente', 'VBP')
('opusera', 'NN')
('criação', 'NN')
('Casa', 'NNP')
('Verde', 'NNP')
('desfrutava', 'NN')
('reputação', 'NN')
('perfeito', 'NN')
('educador', 'NN')
('cobras', 'NNS')
('macacos', 'VBP')
('aliás', 'JJ')
('nunca', 'JJ')
('domesticara', 'NN')
('desses', 'NNS')
('bichos', 'VBP')
('cuidado', 'JJ')
('fazer', 'NN')
('trabalhar', 'NN')
('matraca', 'NN')
('todos', 'NN')
('meses', 'VBZ')
('E', 'NNP')
('dizem', 'NN')
('crônicas', 'NN')
('algumas', 'NN')
('pessoas', 'NN')
('afirmavam', 'VBP')
('ter', 'NN')
('visto', 'NN')
('cascavéis', 'NN')
('dançando', 'NN')
('peito', 'NN')
('vereador', 'NN')
('afirmação', 'NN')
('perfeitamente', 'NN')
('falsa', 'NN')
('devida', 'NN')
('absoluta', 'NN')
('confiança', 'NN')
('sistema', 'NN')
('Verdade', 'NNP')
('verdade', 'NN')
('todas', 'NN')
('instituições', 'NN')
('antigo', 'JJ')
('regímen', 'NNS')
('mereciam', 'VBP')
('desprezo', 'JJ')
('século', 'NN')
('Há', 'NNP')
('melhor', 'NN')
('anunciar', 'NN')
('idéia', 'NN')
('praticá', 'NN')
('la', 'NN')
('respondeu', 'NN')
('alienista', 'NN')
('insinuação', 'NN')
('boticário', 'NN')
('E', 'NNP')
('boticário', 'NN')
('divergindo', 'NN')
('sensivelmente', 'NN')
('deste', 'NN')
('modo', 'NN')
('ver', 'NN')
('disse', 'NN')
('sim', 'NN')
('melhor', 'NN')
('começar', 'NN')
('execução', 'NN')
('Sempre', 'NNP')
('haverá', 'NN')
('tempo', 'NN')
('dar', 'NN')
('matraca', 'NN')
('concluiu', 'NN')
('Simão', 'NNP')
('Bacamarte', 'NNP')
('refletiu', 'NN')
('ainda', 'NN')
('instante', 'NN')
('disse', 'FW')
('Supondo', 'NNP')
('espírito', 'FW')
('humano', 'NN')
('vasta', 'NN')
('concha', 'NN')
('fim', 'NN')
('Sr', 'NNP')
('Soares', 'NNP')
('ver', 'IN')
('posso', 'RB')
('extrair', 'JJ')
('pérola', 'NN')
('razão', 'NN')
('outros', 'IN')
('termos', 'JJ')
('demarquemos', 'NN')
('definitivamente', 'NN')
('limites', 'VBZ')
('razão', 'VBP')
('loucura', 'VB')
('A', 'NNP')
('razão', 'NN')
('perfeito', 'NN')
('equilíbrio', 'NN')
('todas', 'NN')
